"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2016","1,636.89","1,632.06","1,639.56","1,632.06","0","0.30"
"Aug 12, 2016","1,632.06","1,633.28","1,633.70","1,628.61","0","-0.07"
"Aug 11, 2016","1,633.28","1,625.60","1,635.23","1,625.60","0","0.47"
"Aug 10, 2016","1,625.60","1,630.40","1,631.62","1,623.01","0","-0.29"
"Aug 09, 2016","1,630.40","1,629.40","1,634.59","1,628.10","0","0.06"
"Aug 08, 2016","1,629.40","1,630.80","1,632.84","1,627.15","0","-0.09"
"Aug 05, 2016","1,630.80","1,617.18","1,630.80","1,617.18","0","0.84"
"Aug 04, 2016","1,617.18","1,616.69","1,620.02","1,613.29","0","0.03"
"Aug 03, 2016","1,616.69","1,611.44","1,616.69","1,608.09","0","0.33"
"Aug 02, 2016","1,611.44","1,622.04","1,622.04","1,604.34","0","-0.65"
"Aug 01, 2016","1,622.04","1,624.17","1,627.83","1,618.79","0","-0.13"
"Jul 29, 2016","1,624.17","1,621.39","1,626.70","1,616.46","0","0.17"
"Jul 28, 2016","1,621.39","1,618.42","1,623.43","1,613.56","0","0.18"
"Jul 27, 2016","1,618.42","1,620.68","1,624.69","1,612.94","0","-0.14"
"Jul 26, 2016","1,620.68","1,619.79","1,623.74","1,613.81","0","0.05"
"Jul 25, 2016","1,619.79","1,624.55","1,624.55","1,615.04","0","-0.29"
"Jul 22, 2016","1,624.55","1,617.09","1,624.64","1,615.75","0","0.46"
"Jul 21, 2016","1,617.09","1,622.86","1,623.98","1,613.04","0","-0.36"
"Jul 20, 2016","1,622.86","1,615.58","1,624.68","1,615.58","0","0.45"
"Jul 19, 2016","1,615.58","1,617.96","1,617.96","1,612.07","0","-0.15"
"Jul 18, 2016","1,617.96","1,614.17","1,619.08","1,612.53","0","0.23"
"Jul 15, 2016","1,614.17","1,615.59","1,619.55","1,609.84","0","-0.09"
"Jul 14, 2016","1,615.59","1,607.29","1,619.44","1,607.29","0","0.52"
"Jul 13, 2016","1,607.29","1,607.17","1,610.37","1,602.64","0","0.01"
"Jul 12, 2016","1,607.17","1,596.06","1,609.65","1,596.06","0","0.70"
"Jul 11, 2016","1,596.06","1,590.51","1,600.55","1,590.51","0","0.35"
"Jul 08, 2016","1,590.51","1,566.54","1,591.96","1,566.54","0","1.53"
"Jul 07, 2016","1,566.54","1,567.45","1,574.68","1,560.26","0","-0.06"
"Jul 06, 2016","1,567.45","1,559.20","1,568.18","1,548.40","0","0.53"
"Jul 05, 2016","1,559.20","1,570.19","1,570.19","1,553.36","0","-0.70"
"Jul 01, 2016","1,570.19","1,566.95","1,574.43","1,566.18","0","0.21"
"Jun 30, 2016","1,566.95","1,546.06","1,567.02","1,545.41","0","1.35"
"Jun 29, 2016","1,546.06","1,519.84","1,547.89","1,519.84","0","1.73"
